"seed","replicate","method","parameter","truth","estimate","abs_error"
20260824,12,"separate_mirage","eta1_C3",0.5,0.542523090432822,0.0425230904328215
20260824,12,"separate_mirage","eta2_C1",0.03,0.00011583210940275,0.0298841678905972
20260824,12,"separate_mirage","eta2_C2",0.15,0.453862642273882,0.303862642273882
20260824,12,"separate_mirage","eta2_C3",0.4,1.8292376666807e-05,0.399981707623333
20260824,12,"mtada_aggregated","pi00",0.94,0.93813969,0.00186030999999998
20260824,12,"mtada_aggregated","pi10",0.04,0.04186031,0.00186031
20260824,12,"mtada_aggregated","pi01",0.01,0.01186031,0.00186031
20260824,12,"mtada_aggregated","pi11",0.01,0.00813969,0.00186031
20260825,13,"mirage_joint","pi00",0.94,0.876105372842459,0.0638946271575414
20260825,13,"mirage_joint","pi10",0.04,0.0970310989848414,0.0570310989848414
20260825,13,"mirage_joint","pi01",0.01,0.00644544217850773,0.00355455782149227
20260825,13,"mirage_joint","pi11",0.01,0.0204180859941923,0.0104180859941923
20260825,13,"mirage_joint","eta1_C1",0.05,0.112390905351332,0.0623909053513325
20260825,13,"mirage_joint","eta1_C2",0.2,0.15359743995732,0.0464025600426797
20260825,13,"mirage_joint","eta1_C3",0.5,0.304279421337586,0.195720578662414
20260825,13,"mirage_joint","eta2_C1",0.03,0.380728584467325,0.350728584467325
20260825,13,"mirage_joint","eta2_C2",0.15,0.180829409478769,0.0308294094787692
20260825,13,"mirage_joint","eta2_C3",0.4,0.806381616975101,0.406381616975101
20260825,13,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260825,13,"separate_mirage","pi10",0.04,0.049,0.009
20260825,13,"separate_mirage","pi01",0.01,0.019,0.009
20260825,13,"separate_mirage","pi11",0.01,0.001,0.009
20260825,13,"separate_mirage","eta1_C1",0.05,0.172843633845686,0.122843633845686
20260825,13,"separate_mirage","eta1_C2",0.2,0.289086334545127,0.089086334545127
20260825,13,"separate_mirage","eta1_C3",0.5,0.438804371809342,0.0611956281906579
20260825,13,"separate_mirage","eta2_C1",0.03,0.40508002273334,0.37508002273334
